Participant,Action,Date of Notification/Deposit,Date of Effect
Italy,Signature,18/07/1998, 
Italy,Notification,28/04/2004, 
Italy,Ratification,26/07/1999,01/07/2002
Jamaica,Signature,08/09/2000, 
Japan,Notification,17/08/2007, 
Japan,Accession,17/07/2007,01/10/2007
Jordan,Signature,07/10/1998, 
Jordan,Ratification,11/04/2002,01/07/2002
Kenya,Signature,11/08/1999, 
Kenya,Proposal of Amendments,13/12/2013, 
Kenya,Ratification,15/03/2005,01/06/2005
Kuwait,Signature,08/09/2000, 
Kyrgyzstan,Signature,08/12/1998, 
Latvia,Signature,22/04/1999, 
Latvia,Ratification,28/06/2002,01/09/2002
Lesotho,Notification,17/03/2004, 
Lesotho,Signature,30/11/1998, 
Lesotho,Ratification,06/09/2000,01/07/2002
Liberia,Signature,17/07/1998, 
Liberia,Ratification,22/09/2004,01/12/2004
Liechtenstein,Signature,18/07/1998, 
Liechtenstein,Ratification,02/10/2001,01/07/2002
Lithuania,Signature,10/12/1998, 
Lithuania,Ratification,12/05/2003,01/08/2003
Luxembourg,Signature,13/10/1998, 
Luxembourg,Notification,03/03/2004, 
Luxembourg,Declaration,26/01/2012, 
Luxembourg,Declaration,26/01/2012, 
Luxembourg,Ratification,08/09/2000,01/07/2002
Madagascar,Signature,18/07/1998, 
Madagascar,Ratification,14/03/2008,01/06/2008
Malawi,Signature,02/03/1999, 
Malawi,Ratification,19/09/2002,01/12/2002
Maldives,Accession,21/09/2011,01/12/2011
Mali,Signature,17/07/1998, 
Mali,Notification,21/05/2004, 
Mali,Ratification,16/08/2000,01/07/2002
Malta,Signature,17/07/1998, 
Malta,Ratification,29/11/2002,01/02/2003
Marshall Islands,Notification,18/02/2004, 
Marshall Islands,Signature,06/09/2000, 
Marshall Islands,Ratification,07/12/2000,01/07/2002
Mauritius,Signature,11/11/1998, 
Mauritius,Ratification,05/03/2002,01/07/2002
Mexico,Signature,07/09/2000, 
Mexico,Ratification,28/10/2005,01/01/2006
Monaco,Signature,18/07/1998, 
Mongolia,Signature,29/12/2000, 
Mongolia,Ratification,11/04/2002,01/07/2002
Montenegro,Succession,23/10/2006,03/06/2006
Morocco,Signature,08/09/2000, 
Mozambique,Signature,28/12/2000, 
Namibia,Notification,21/07/2004, 
Namibia,Notification,08/10/2002, 
Namibia,Signature,27/10/1998, 
Namibia,Ratification,25/06/2002,01/09/2002
Nauru,Signature,13/12/2000, 
Nauru,Ratification,12/11/2001,01/07/2002
Netherlands,Notification,10/03/2004, 
Netherlands,Territorial application,17/07/2001, 
Netherlands,Objection,08/07/2003, 
Netherlands,Signature,18/07/1998, 
Netherlands,Acceptance,17/07/2001,01/07/2002
New Zealand,Signature,07/10/1998, 
New Zealand,Notification,09/03/2004, 
New Zealand,Territorial exclusion,07/09/2000, 
New Zealand,Ratification,07/09/2000,01/07/2002
Niger,Signature,17/07/1998, 
Niger,Ratification,11/04/2002,01/07/2002
Nigeria,Signature,01/06/2000, 
Nigeria,Ratification,27/09/2001,01/07/2002
None,Opening for signature,17/07/1998, 
None,Entry into force,11/04/2002,01/07/2002
Norway,Communication,29/08/2003, 
Norway,Signature,28/08/1998, 
Norway,Ratification,16/02/2000,01/07/2002
Oman,Signature,20/12/2000, 
Panama,Notification,25/05/2004, 
Panama,Signature,18/07/1998, 
Panama,Ratification,21/03/2002,01/07/2002
Paraguay,Signature,07/10/1998, 
Paraguay,Ratification,14/05/2001,01/07/2002
Peru,Signature,07/12/2000, 
Peru,Notification,12/04/2004, 
Peru,Ratification,10/11/2001,01/07/2002
Philippines,Signature,28/12/2000, 
Philippines,Ratification,30/08/2011,01/11/2011
Poland,Signature,09/04/1999, 
Poland,Ratification,12/11/2001,01/07/2002
Portugal,Signature,07/10/1998, 
Portugal,Ratification,05/02/2002,01/07/2002
Republic of Korea,Signature,08/03/2000, 
Republic of Korea,Ratification,13/11/2002,01/02/2003
Republic of Moldova,Signature,08/09/2000, 
Republic of Moldova,Ratification,12/10/2010,01/01/2011
Romania,Signature,07/07/1999, 
Romania,Ratification,11/04/2002,01/07/2002
Russian Federation,Signature,13/09/2000, 
Samoa,Notification,26/03/2004, 
Samoa,Signature,17/07/1998, 
Samoa,Ratification,16/09/2002,01/12/2002
San Marino,Signature,18/07/1998, 
San Marino,Ratification,13/05/1999,01/07/2002
Sao Tome and Principe,Signature,28/12/2000, 
Senegal,Signature,18/07/1998, 
Senegal,Ratification,02/02/1999,01/07/2002
Serbia and Montenegro,Notification,26/05/2006, 
Seychelles,Signature,28/12/2000, 
Seychelles,Ratification,10/08/2010,01/11/2010
Sierra Leone,Signature,17/10/1998, 
Sierra Leone,Notification,30/04/2004, 
Sierra Leone,Ratification,15/09/2000,01/07/2002
Slovakia,Signature,23/12/1998, 
Slovakia,Ratification,11/04/2002,01/07/2002
Slovenia,Notification,27/06/2006, 
Slovenia,Signature,07/10/1998, 
Slovenia,Ratification,31/12/2001,01/07/2002
Solomon Islands,Signature,03/12/1998, 
South Africa,Signature,17/07/1998, 
South Africa,Ratification,27/11/2000,01/07/2002
Spain,Signature,18/07/1998, 
Spain,Ratification,24/10/2000,01/07/2002
St. Kitts and Nevis,Accession,22/08/2006,01/11/2006
St. Lucia,Signature,27/08/1999, 
St. Lucia,Ratification,18/08/2010,17/10/2010
St. Vincent and the Grenadines,Accession,03/12/2002,01/03/2003
State of Palestine,Accession,02/01/2015,01/04/2015
Sudan,Notification,26/08/2008, 
Sudan,Signature,08/09/2000, 
Suriname,Notification,25/08/2008, 
Suriname,Accession,15/07/2008,01/10/2008
Sweden,Signature,07/10/1998, 
Sweden,Objection,07/07/2003, 
Sweden,Ratification,28/06/2001,01/07/2002
Switzerland,Signature,18/07/1998, 
Switzerland,Ratification,12/10/2001,01/07/2002
Syrian Arab Republic,Signature,29/11/2000, 
Tajikistan,Signature,30/11/1998, 
Tajikistan,Ratification,05/05/2000,01/07/2002
Thailand,Signature,02/10/2000, 
The former Yugoslav Republic of Macedonia,Signature,07/10/1998, 
The former Yugoslav Republic of Macedonia,Notification,27/05/2004, 
The former Yugoslav Republic of Macedonia,Ratification,06/03/2002,01/07/2002
Timor-Leste,Notification,17/12/2004, 
Timor-Leste,Accession,06/09/2002,01/12/2002
Trinidad and Tobago,Signature,23/03/1999, 
Trinidad and Tobago,Ratification,06/04/1999,01/07/2002
Tunisia,Accession,24/06/2011,01/09/2011
Uganda,Signature,17/03/1999, 
Uganda,Ratification,14/06/2002,01/09/2002
Ukraine,Signature,20/01/2000, 
United Arab Emirates,Signature,27/11/2000, 
United Kingdom of Great Britain and Northern Ireland,Signature,30/11/1998, 
United Kingdom of Great Britain and Northern Ireland,Communication,31/07/2003, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,11/03/2010, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,20/04/2015, 
United Kingdom of Great Britain and Northern Ireland,Ratification,04/10/2001,01/07/2002
United Kingdom of Great Britain and Northern Ireland,Territorial application,28/11/2012,28/11/2012
United Republic of Tanzania,Signature,29/12/2000, 
United Republic of Tanzania,Ratification,20/08/2002,01/11/2002
United States of America,Communication,06/05/2002, 
United States of America,Signature,31/12/2000, 
Uruguay,Signature,19/12/2000, 
Uruguay,Notification,19/07/2002, 
Uruguay,Communication,21/07/2003, 
Uruguay,Notification,05/03/2004, 
Uruguay,Withdrawal of declaration,26/02/2008, 
Uruguay,Ratification,28/06/2002,01/09/2002
Uzbekistan,Signature,29/12/2000, 
Vanuatu,Accession,02/12/2011,01/02/2012
Venezuela,Signature,14/10/1998, 
Venezuela,Ratification,07/06/2000,01/07/2002
Yemen,Signature,28/12/2000, 
Yugoslavia,Signature,19/12/2000, 
Yugoslavia,Ratification,06/09/2001,01/07/2002
Zambia,Signature,17/07/1998, 
Zambia,Ratification,13/11/2002,01/02/2003
Zimbabwe,Signature,17/07/1998, 
