Participant,Action,Date of Notification/Deposit,Date of Effect
Sao Tome and Principe,Accession,25/04/2008,24/07/2008
Saudi Arabia,Accession,31/01/2005,01/05/2005
Senegal,Accession,20/07/2001,16/02/2005
Serbia,Accession,19/10/2007,17/01/2008
Seychelles,Signature,20/03/1998, 
Seychelles,Ratification,22/07/2002,16/02/2005
Sierra Leone,Accession,10/11/2006,08/02/2007
Singapore,Accession,12/04/2006,11/07/2006
Slovakia,Signature,26/02/1999, 
Slovakia,Ratification,31/05/2002,16/02/2005
Slovenia,Signature,21/10/1998, 
Slovenia,Ratification,02/08/2002,16/02/2005
Solomon Islands,Signature,29/09/1998, 
Solomon Islands,Ratification,13/03/2003,16/02/2005
Somalia,Accession,26/07/2010,24/10/2010
South Africa,Accession,31/07/2002,16/02/2005
Spain,Signature,29/04/1998, 
Spain,Ratification,31/05/2002,16/02/2005
Sri Lanka,Accession,03/09/2002,16/02/2005
St. Kitts and Nevis,Accession,08/04/2008,07/07/2008
St. Lucia,Signature,16/03/1998, 
St. Lucia,Ratification,20/08/2003,16/02/2005
St. Vincent and the Grenadines,Signature,19/03/1998, 
St. Vincent and the Grenadines,Ratification,31/12/2004,31/03/2005
Sudan,Accession,02/11/2004,16/02/2005
Suriname,Accession,25/09/2006,24/12/2006
Swaziland,Accession,13/01/2006,13/04/2006
Sweden,Ratification,31/05/2002, 
Sweden,Signature,29/04/1998, 
Switzerland,Signature,16/03/1998, 
Switzerland,Ratification,09/07/2003,16/02/2005
Syrian Arab Republic,Accession,27/01/2006,27/04/2006
Tajikistan,Accession,29/12/2008,29/03/2009
Thailand,Signature,02/02/1999, 
Thailand,Ratification,28/08/2002,16/02/2005
The former Yugoslav Republic of Macedonia,Accession,18/11/2004,16/02/2005
Timor-Leste,Accession,14/10/2008,12/01/2009
Togo,Accession,02/07/2004,16/02/2005
Tonga,Accession,14/01/2008,13/04/2008
Trinidad and Tobago,Signature,07/01/1999, 
Trinidad and Tobago,Ratification,28/01/1999,16/02/2005
Tunisia,Accession,22/01/2003,16/02/2005
Turkey,Accession,28/05/2009,26/08/2009
Turkmenistan,Signature,28/09/1998, 
Turkmenistan,Ratification,11/01/1999,16/02/2005
Tuvalu,Signature,16/11/1998, 
Tuvalu,Ratification,16/11/1998,16/02/2005
Uganda,Accession,25/03/2002,16/02/2005
Ukraine,Signature,15/03/1999, 
Ukraine,Ratification,12/04/2004,16/02/2005
United Arab Emirates,Accession,26/01/2005,26/04/2005
United Kingdom of Great Britain and Northern Ireland,Territorial application,07/03/2007, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,02/01/2007, 
United Kingdom of Great Britain and Northern Ireland,Territorial application,04/04/2006, 
United Kingdom of Great Britain and Northern Ireland,Signature,29/04/1998, 
United Kingdom of Great Britain and Northern Ireland,Ratification,31/05/2002,16/02/2005
United Republic of Tanzania,Accession,26/08/2002,16/02/2005
United States of America,Signature,12/11/1998, 
Uruguay,Signature,29/07/1998, 
Uruguay,Ratification,05/02/2001,16/02/2005
Uzbekistan,Signature,20/11/1998, 
Uzbekistan,Ratification,12/10/1999,16/02/2005
Vanuatu,Accession,17/07/2001,16/02/2005
Venezuela (Bolivarian Republic of),Accession,18/02/2005,19/05/2005
Viet Nam,Signature,03/12/1998, 
Viet Nam,Ratification,25/09/2002,16/02/2005
Yemen,Accession,15/09/2004,16/02/2005
Zambia,Signature,05/08/1998, 
Zambia,Ratification,07/07/2006,05/10/2006
Zimbabwe,Accession,30/06/2009,28/09/2009
