Participant,Action,Date of Notification/Deposit,Date of Effect
German Democratic Republic,Signature,25/06/1980, 
German Democratic Republic,Objection,22/04/1987, 
German Democratic Republic,Ratification,09/07/1980,03/09/1981
Germany,Objection,24/10/1994, 
Germany,Communication,16/08/1999, 
Germany,Objection,19/06/1997, 
Germany,Objection,08/10/1996, 
Germany,Objection,28/05/1997, 
Germany,Objection,25/08/2003, 
Germany,Objection,18/02/2003, 
Germany,Objection,19/01/2001, 
Germany,Objection,14/03/2002, 
Germany,Objection,02/10/2001, 
Germany,Objection,28/08/2006, 
Germany,Objection,09/11/2005, 
Germany,Objection,19/12/2006, 
Germany,Withdrawal of reservation,10/12/2001,10/12/2001
Ghana,Signature,17/07/1980, 
Ghana,Ratification,02/01/1986,01/02/1986
Greece,Signature,02/03/1982, 
Greece,Objection,13/06/2003, 
Greece,Objection,04/03/2004, 
Greece,Objection,15/06/2007, 
Greece,Objection,04/10/2005, 
Greece,Objection,29/01/2007, 
Greece,Ratification,07/06/1983,07/07/1983
Grenada,Signature,17/07/1980, 
Grenada,Ratification,30/08/1990,29/09/1990
Guatemala,Signature,08/06/1981, 
Guatemala,Ratification,12/08/1982,11/09/1982
Guinea,Signature,17/07/1980, 
Guinea,Ratification,09/08/1982,08/09/1982
Guinea-Bissau,Signature,17/07/1980, 
Guinea-Bissau,Ratification,23/08/1985,22/09/1985
Guyana,Signature,17/07/1980, 
Guyana,Ratification,17/07/1980,03/09/1981
Haiti,Signature,17/07/1980, 
Haiti,Ratification,20/07/1981,03/09/1981
Honduras,Signature,11/06/1980, 
Honduras,Ratification,03/03/1983,02/04/1983
Hungary,Signature,06/06/1980, 
Hungary,Objection,07/02/2007, 
Hungary,Objection,24/04/2007, 
Hungary,Objection,15/04/2010, 
Hungary,Ratification,22/12/1980,03/09/1981
Hungary,Withdrawal of reservation,08/12/1989,08/12/1989
Iceland,Signature,24/07/1980, 
Iceland,Ratification,18/06/1985,18/07/1985
India,Signature,30/07/1980, 
India,Ratification,09/07/1993,08/08/1993
Indonesia,Signature,29/07/1980, 
Indonesia,Ratification,13/09/1984,13/10/1984
Iraq,Partial withdrawal of reservation,18/02/2014, 
Iraq,Accession,13/08/1986,12/09/1986
Ireland,Objection,19/12/2006, 
Ireland,Objection,19/12/2006, 
Ireland,Communication,13/06/2002, 
Ireland,Communication,02/04/2002, 
Ireland,Objection,02/10/2001, 
Ireland,Objection,28/04/2010, 
Ireland,Withdrawal of reservation,11/06/2004,11/06/2004
Ireland,Withdrawal of reservation,19/12/1986,19/12/1986
Ireland,Accession,23/12/1985,22/01/1986
Ireland,Withdrawal of reservation,24/03/2000,24/03/2000
Israel,Objection,12/12/1986, 
Israel,Signature,17/07/1980, 
Israel,Communication,16/05/2014, 
Israel,Ratification,03/10/1991,02/11/1991
Italy,Objection,02/09/2003, 
Italy,Communication,09/07/2007, 
Italy,Objection,15/06/2007, 
Italy,Signature,17/07/1980, 
Italy,Objection,15/04/2010, 
Italy,Ratification,10/06/1985,10/07/1985
Jamaica,Signature,17/07/1980, 
Jamaica,Withdrawal of reservation,08/09/1995,08/09/1995
Jamaica,Ratification,19/10/1984,18/11/1984
Japan,Signature,17/07/1980, 
Japan,Ratification,25/06/1985,25/07/1985
Jordan,Signature,03/12/1980, 
Jordan,Withdrawal of reservation,05/05/2009,05/05/2009
Jordan,Ratification,01/07/1992,31/07/1992
Kazakhstan,Accession,26/08/1998,25/09/1998
Kenya,Accession,09/03/1984,08/04/1984
Kiribati,Accession,17/03/2004,16/04/2004
Kuwait,Accession,02/09/1994,02/10/1994
Kuwait,Withdrawal of reservation,09/12/2005,09/12/2005
Kyrgyzstan,Accession,10/02/1997,12/03/1997
Lao People's Democratic Republic,Signature,17/07/1980, 
Lao People's Democratic Republic,Ratification,14/08/1981,13/09/1981
Latvia,Objection,04/10/2005, 
Latvia,Objection,06/12/2006, 
Latvia,Objection,06/12/2006, 
Latvia,Objection,28/01/2010, 
Latvia,Accession,14/04/1992,14/05/1992
Lebanon,Accession,16/04/1997,21/05/1997
Lesotho,Signature,17/07/1980, 
Lesotho,Ratification,22/08/1995,21/09/1995
Lesotho,Partial withdrawal of reservation,25/08/2004,25/08/2004
Liberia,Accession,17/07/1984,16/08/1984
Libyan Arab Jamahiriya,Modification,05/07/1995, 
Libyan Arab Jamahiriya,Accession,16/05/1989,15/06/1989
Liechtenstein,Withdrawal of reservation,03/10/1996,03/10/1996
Liechtenstein,Accession,22/12/1995,21/01/1996
Lithuania,Accession,18/01/1994,17/02/1994
