 ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Sierra Leone,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627
Singapore,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200,5469700
Sint Maarten,36934,38270,39462,40458,39133,35474,33435,34640,36607,37664
Slovakia,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418506
Slovenia,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2062218
Solomon Islands,469306,480716,492075,503410,514767,526177,537648,549162,560685,572171
Somalia,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569
South Africa,47349013,47991699,48656506,49344228,50055701,50791808,51553479,52341695,53157490,54001953
South Sudan,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184
Spain,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46404602
Sri Lanka,19644000,19858000,20039000,20246000,20450000,20653000,20869000,20328000,20483000,20639000
St. Kitts and Nevis,49139,49818,50465,51093,51717,52352,52998,53650,54301,54944
St. Lucia,165407,167656,170146,172729,175196,177397,179278,180890,182305,183645
St. Martin (French part),27906,28414,28905,29376,29820,30235,30615,30959,31264,31530
St. Vincent and the Grenadines,108749,108908,109049,109165,109255,109316,109341,109334,109327,109360
Sudan,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274
Suriname,491999,495953,500953,506657,512522,518141,523439,528535,533450,538248
Swaziland,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112
Sweden,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9689555
Switzerland,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8190229
Syria,18132842,18728200,19425597,20097057,20566871,20720602,21070917,21427155,21789415,22157800
Tajikistan,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840
Tanzania,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621
Thailand,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979
Timor-Leste,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958,1180069,1212107
Togo,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719,7115163
Tonga,100858,101507,102169,102816,103416,103947,104392,104769,105139,105586
Trinidad and Tobago,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483
Tunisia,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500,10996600
Turkey,67860617,68704721,69515492,70344357,71261307,72310416,73199372,74099255,75010202,75932348
Turkmenistan,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941,5240088,5307188
Turks and Caicos Islands,26450,27642,28638,29481,30247,30993,31727,32430,33103,33740
Tuvalu,9694,9732,9764,9788,9808,9827,9844,9860,9876,9893
Uganda,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387,37782971
Ukraine,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45362900
United Arab Emirates,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978,9086139
United Kingdom,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64106779,64510376
United States,295516599,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056
Uruguay,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969,3419516
Uzbekistan,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700
Vanuatu,209375,214635,219956,225335,230782,236299,241876,247498,253165,258883
Venezuela,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045,30693827
